"Año","ex","inferior","superior"
1950,12.3232672581854,NA,NA
1951,12.6893261953699,NA,NA
1952,12.5605710240997,NA,NA
1953,13.1864402846415,NA,NA
1954,13.4250298574608,NA,NA
1955,13.3551827551666,NA,NA
1956,13.5160227753394,NA,NA
1957,13.3623062655717,NA,NA
1958,13.5543174694753,NA,NA
1959,13.7510658792504,NA,NA
1960,13.783629734589,NA,NA
1961,14.2015652063,NA,NA
1962,14.1340756715116,NA,NA
1963,14.0154084003299,NA,NA
1964,14.4309620841555,NA,NA
1965,14.3968982942923,NA,NA
1966,14.4572126001979,NA,NA
1967,14.7973941275985,NA,NA
1968,14.5135175449354,NA,NA
1969,14.7714571596764,NA,NA
1970,15.5424747455641,NA,NA
1971,15.3549169984791,NA,NA
1972,15.4159847108798,NA,NA
1973,15.4701812890425,NA,NA
1974,16.1439243241369,NA,NA
1975,16.191590066063,NA,NA
1976,16.2557373213592,NA,NA
1977,16.5077738794913,NA,NA
1978,16.7539239518866,NA,NA
1979,16.8685809948853,NA,NA
1980,16.8059623918823,NA,NA
1981,16.9941399261675,NA,NA
1982,17.2523276255019,NA,NA
1983,17.0986129228916,NA,NA
1984,17.1834779781211,NA,NA
1985,17.0419202216679,NA,NA
1986,17.3115124110303,NA,NA
1987,17.3518834672948,NA,NA
1988,17.3285577413728,NA,NA
1989,17.4053674465038,NA,NA
1990,17.5615393868848,NA,NA
1991,17.770026463556,NA,NA
1992,17.8591652767744,NA,NA
1993,17.7322023023154,NA,NA
1994,17.7919125754491,NA,NA
1995,17.6395373669384,NA,NA
1996,17.8146231784985,NA,NA
1997,18.0702625084385,NA,NA
1998,18.2708901079705,NA,NA
1999,18.5279980134936,NA,NA
2000,18.9176246505995,NA,NA
2001,19.021026461293,NA,NA
2002,18.9607826922253,NA,NA
2003,18.8673918005087,NA,NA
2004,19.0357560820254,NA,NA
2005,18.8499047448135,NA,NA
2006,19.1109207211512,NA,NA
2007,18.9604328997649,NA,NA
2008,18.9778920243115,NA,NA
2009,18.823066984445,NA,NA
2010,18.8182173001914,NA,NA
2011,18.8828249272143,NA,NA
2012,18.8542524465729,NA,NA
2013,18.7855059935918,NA,NA
2014,18.646268708848,NA,NA
2015,18.4341843546063,NA,NA
2016,18.748379593896,18.3110073456822,19.6396435929706
2017,18.7231099788437,18.1832470731672,19.7632081922979
2018,18.7647348249324,18.449122857463,19.9027764002837
2019,18.796064602659,18.4113343029541,19.9704713122507
2020,18.8585894017829,18.4635952628224,20.0392018631587
2021,18.9170482460635,18.5604700403575,20.2021126665651
2022,18.990055829003,18.5919847223124,20.349544634262
2023,19.0615004160153,18.6932465250941,20.4206316738591
2024,19.1397235856505,18.7627160614311,20.5205006081639
2025,19.2173602172575,18.8871370870818,20.5840244213972
2026,19.2981432662108,18.8530826200353,20.7267246081886
2027,19.3787038205848,19.0127057985172,20.811288431895
2028,19.4607096281623,19.0663467843566,20.9435168461719
2029,19.5426182663143,19.1936685969472,20.9657522571257
2030,19.6251731013123,19.1188274915312,21.1275132838733
2031,19.7076668869462,19.1801294565561,21.3566151504751
2032,19.7904297606718,19.3844163974318,21.2388997172828
2033,19.8731365628604,19.270524542727,21.4526809000598
2034,19.9559329634052,19.4328634337898,21.5263743624175
2035,20.0386687086753,19.5622886747952,21.650118107352
2036,20.1214072542712,19.486150178457,21.823096638141
2037,20.2040784706294,19.7876064990492,21.8597403747603
2038,20.2867092436744,19.773275833085,21.7279270350926
2039,20.3692661837102,19.7943277920784,22.0336357669863
2040,20.4517599524561,19.7327539074087,22.1723607860345
2041,20.5341740307955,19.8591362196076,22.2115447623057
2042,20.6165119105443,20.0985248571562,22.3706310167153
2043,20.6987648379751,20.0738518216383,22.4870163896325
2044,20.7809331574685,20.1654111830012,22.5475720319201
2045,20.8630117056882,20.2599631006746,22.5284056662688
2046,20.9449994633043,20.3158971619896,22.7577158518611
2047,21.0268929419025,20.3446695980836,22.8631000676508
2048,21.1086905479018,20.5750073886149,22.9621729745379
2049,21.1903895885646,20.547934898107,23.0277611144213
2050,21.2719882448201,20.5256633815846,23.1175414736845
