Continent,Country,Mammals,Birds,Reptiles,Amphibians,Fishes,Molluscs,"Other
Inverts",Plants,"Fungi &
Protists",Total
Africa,Algeria,14,15,8,3,45,12,30,26,2,155
Africa,Egypt,18,14,13,0,62,1,56,8,0,172
Africa,Libya,10,8,6,0,38,1,4,8,0,75
Africa,Morocco,18,18,13,2,55,38,33,56,5,238
Africa,Tunisia,14,11,6,1,42,8,13,10,2,107
Africa,Western Sahara,10,5,1,0,39,2,1,0,0,58
Africa,Angola,22,33,7,0,55,7,4,43,0,171
Africa,Benin,16,12,7,1,46,2,1,21,0,106
Africa,Botswana,11,16,1,0,2,0,0,3,0,33
Africa,Burkina Faso,11,12,3,0,4,1,0,5,0,36
Africa,Burundi,16,14,0,1,17,3,3,134,0,188
Africa,Cabo Verde,4,7,6,0,38,13,0,51,0,119
Africa,Cameroon,47,29,13,57,126,13,13,592,0,890
Africa,Central African Republic,19,16,5,0,4,0,0,29,0,73
Africa,Chad,16,16,5,0,1,4,0,6,0,48
Africa,Comoros,5,14,5,0,17,0,77,9,0,127
Africa,Congo,18,7,6,1,60,7,0,56,0,155
Africa,"Congo, The Democratic Republic of the",42,40,9,11,101,44,10,240,0,497
Africa,Côte d'Ivoire,33,25,8,8,66,5,2,133,0,280
Africa,Djibouti,11,12,1,0,26,1,56,3,0,110
Africa,Equatorial Guinea,24,6,8,5,51,2,2,107,0,205
Africa,Eritrea,16,21,7,0,35,1,57,6,0,143
Africa,Eswatini,9,13,1,0,5,0,0,13,0,41
Africa,Ethiopia,37,35,3,12,14,4,11,64,0,180
Africa,Gabon,18,7,7,4,74,2,2,215,0,329
Africa,Gambia,10,14,6,0,48,2,0,7,0,87
Africa,Ghana,23,23,8,8,66,2,3,122,0,255
Africa,Guinea,31,20,9,8,100,3,5,189,0,365
Africa,Guinea-Bissau,14,12,8,0,46,2,0,10,0,92
Africa,Kenya,30,42,14,11,82,20,73,277,0,549
Africa,Lesotho,4,8,0,0,1,0,2,4,0,19
Africa,Liberia,25,14,8,3,72,3,7,86,0,218
Africa,Madagascar,122,37,139,145,113,35,160,2159,0,"2,910"
Africa,Malawi,10,19,4,5,36,7,7,42,0,130
Africa,Mali,14,17,4,0,2,0,0,25,0,62
Africa,Mauritania,18,19,6,0,48,2,1,0,0,94
Africa,Mauritius,7,12,11,0,26,33,91,92,0,272
Africa,Mayotte,2,3,7,0,14,0,72,4,0,102
Africa,Mozambique,18,30,14,8,83,0,65,208,0,426
Africa,Namibia,15,32,5,0,33,2,2,28,0,117
Africa,Niger,14,13,3,0,2,1,0,4,0,37
Africa,Nigeria,33,21,13,12,77,3,10,211,0,380
Africa,Réunion,4,7,0,0,24,17,72,21,0,145
Africa,Rwanda,24,19,0,2,7,0,4,112,0,168
Africa,"Saint Helena, Ascension and Tristan da Cunha",3,21,2,0,19,1,82,44,1,173
Africa,Sao Tome and Principe,4,12,5,3,31,3,1,49,0,108
Africa,Senegal,19,19,9,0,62,12,1,23,0,145
Africa,Seychelles,6,13,11,6,32,37,284,62,0,451
Africa,Sierra Leone,23,16,9,1,62,5,3,117,0,236
Africa,Somalia,17,21,6,0,40,2,60,53,0,199
Africa,South Africa,30,54,19,16,128,22,174,154,0,597
Africa,South Sudan,17,21,4,0,0,0,1,18,0,61
Africa,Sudan,18,26,6,0,39,0,50,19,0,158
Africa,"Tanzania, United Republic of",41,48,35,61,201,11,136,726,0,"1,259"
Africa,Togo,15,13,6,2,42,2,1,13,0,94
Africa,Uganda,32,29,4,2,61,14,17,107,0,266
Africa,Zambia,13,20,3,0,25,12,2,32,0,107
Africa,Zimbabwe,10,19,3,7,4,0,8,71,0,122
Antarctica,Antarctica,2,4,0,0,0,0,0,0,0,6
Antarctica,Bouvet Island,1,1,0,0,0,0,0,0,0,2
Antarctica,French Southern Territories,3,13,4,0,8,0,0,1,0,29
Antarctica,Heard Island and McDonald Islands,1,10,0,0,1,0,0,0,0,12
Antarctica,South Georgia and the South Sandwich Islands,3,6,0,0,0,0,0,0,0,9
Asia,China,74,96,47,88,146,15,69,631,6,"1,172"
Asia,Hong Kong,5,21,6,5,26,1,8,11,0,83
Asia,Japan,29,50,25,20,104,34,143,54,11,470
Asia,"Korea, Democratic People's Republic of",10,29,2,1,24,0,3,18,1,88
Asia,"Korea, Republic of",12,33,3,5,37,0,8,36,2,136
Asia,Macao,0,4,1,0,20,0,1,0,0,26
Asia,Mongolia,11,24,0,0,2,0,3,0,3,43
Asia,"Taiwan, Province of China",12,24,11,10,87,1,128,87,2,362
Asia,Belarus,4,9,0,0,2,3,7,2,3,30
Asia,Moldova,4,11,2,0,8,2,4,2,0,33
Asia,Russian Federation,34,57,9,0,41,7,31,64,36,279
Asia,Ukraine,11,17,1,0,24,9,29,29,12,132
Asia,Bangladesh,37,36,23,1,36,0,7,25,0,165
Asia,Bhutan,26,21,4,1,3,0,1,45,0,101
Asia,British Indian Ocean Territory,0,1,2,0,18,0,69,1,0,91
Asia,Brunei Darussalam,33,31,8,2,23,0,18,160,0,275
Asia,Cambodia,39,32,21,9,59,1,78,41,0,280
Asia,Disputed Territory,0,0,0,0,12,0,1,0,0,13
Asia,India,93,93,54,75,235,7,131,428,2,"1,118"
Asia,Indonesia,192,166,36,29,240,42,322,625,2,"1,654"
Asia,Lao People's Democratic Republic,47,29,28,6,56,16,5,63,0,250
Asia,Malaysia,72,63,58,33,125,39,275,993,4,"1,662"
